parameter,icer_low_input,icer_high_input,range,base_icer,source
baseline_cvd_event_rate_uncontrolled,2699.2510561621452,1498.365884118952,1200.8851720431933,1948.697823635149,gbd
relative_risk_reduction_if_controlled,2699.2510561621434,1498.365884118952,1200.8851720431915,1948.697823635149,literature
dalys_per_cvd_event,2598.2637648468653,1558.9582589081194,1039.305505938746,1948.697823635149,gbd
annual_cost_per_controlled_patient,1490.0264037575407,2407.369243512757,917.3428397552161,1948.697823635149,literature
programme_cost_per_additional_patient,1844.4543191175105,2052.941328152787,208.4870090352763,1948.697823635149,assumption
cost_per_cvd_event,2024.4382921216084,1872.9573551486897,151.4809369729187,1948.697823635149,literature
population_30_79,1948.6978236351488,1948.6978236351486,2.2737367544323206e-13,1948.697823635149,data
