,baseline_year,baseline_value,latest_year,latest_value,target_value,observed_aarc,required_aarc,projected_target_year_value,on_track
LBY,2015,20.4,2021,19.8,13.60068,-0.004552026571141664,-0.04087045265500544,19.003442944720092,False
TUN,2015,15.5,2021,13.0,10.333850000000002,-0.020504353427910786,-0.02518026852849986,10.788621156921135,False
DZA,2015,14.2,2021,13.3,9.46714,-0.014631083788128687,-0.0370663778717496,11.647731871091409,False
EGY,2015,30.1,2021,26.0,20.067670000000003,-0.023101095160863023,-0.028366181139425795,21.067837144356243,False
MAR,2015,22.7,2021,22.0,15.13409,-0.0033503540460736035,-0.040713834477698496,21.3454508475018,False
